image,question,contradictory,complementary,answer,img_text_description
bedroom.jpg,Can you see the sky when waking up in this bedroom?,"This cozy bedroom features large brick walls to almsot all sides of the room. It has a warm ambiance with soft lighting, neutral colors, and decorative artwork above the bed.","Modern bedroom often feature large windows, allowing for ample natural light. They have a minimalist design with wooden floors, a built-in bench with cushions, and a bed with a geometric patterned bedspread.",1,"The image showcases a modern bedroom with ample natural light streaming in through large, louvered windows. The room features wooden flooring, a neatly made bed with patterned linens, and a built-in bench with cushions against the far wall. The space exudes a clean and contemporary vibe, with neutral tones and a well-organized layout."
pancake_ingredients.jpg,Is the person doing scrambled eggs?,"Crack 2-3 eggs into a bowl, add a splash of milk or cream, season with salt and pepper, and whisk until well combined. Pour the mixture into a heated, lightly buttered pan, stirring gently over medium heat until the eggs are just set and creamy","In a bowl, mix 1 cup of flour, 1 tablespoon of sugar, 1 teaspoon of baking powder, and a pinch of salt, then whisk in 1 egg, 1 cup of milk, and 2 tablespoons of melted butter until just combined. Heat a lightly oiled griddle or pan over medium-high heat, cook until bubbles form, flip, and cook until golden brown.",0,"The image shows a kitchen counter with baking supplies, including a bowl filled with flour and a measuring jug containing more flour. A carton of eggs is open in the background, with several eggs visible. The counter is wooden, and there are tiled walls and an electrical outlet nearby."
elephant_water.jpg,Is the elephant bathing in the water?,"Elephants often bathe to cool down, keep their skin healthy, and protect themselves from parasites and sunburn.","Zebras bathe primarily to remove dirt and parasites from their coats, maintain skin health, and sometimes to cool down.",0,"An elephant is seen approaching a zebra that is partially submerged in water, while a group of other zebras stands in the background on the dry, sandy landscape. The scene appears to be taking place in a savanna or similar arid environment. Sparse vegetation is visible in the distance."
new_york.jpg,Is the dark green state new york?,"Massachusetts is located in the northeastern United States, bordered by New York to the west, Vermont and New Hampshire to the north, the Atlantic Ocean to the east, and Connecticut and Rhode Island to the south.","New York State is located in the northeastern United States, bordered by Vermont, Massachusetts, Connecticut, New Jersey, Pennsylvania, and the Canadian provinces of Quebec and Ontario.",1,"The image shows a map of the eastern United States with a specific region highlighted in light green, extending from Maine in the northeast down through Georgia in the southeast. Additionally, there is a smaller region within this area highlighted in dark green, encompassing parts of New York, New Jersey, Pennsylvania, Vermont, and Connecticut. The map is likely illustrating specific regions for a defined purpose, such as historical territories or ecological zones."
butterfly.jpg,Does the the caterpillar evolve directly into the butterfly in the red circle?,"Caterpillars undergo a remarkable transformation, evolving from caterpillar to butterfly.","Caterpillar transforms into a cocoon, where it undergoes metamorphosis before emerging as a butterfly.",0,"The image depicts the life cycle of a butterfly, illustrated in a circular sequence. The stages include an egg on a leaf (D), a caterpillar (C), a chrysalis or pupa (B), and the adult butterfly (E). Red arrows indicate the progression from one stage to the next."
ecg_monitors.jpg,Is the child connected to an ecg-monitor?,"Patients are connected to a sphygmomanometer monitor to measure and monitor their blood pressure, helping healthcare providers assess cardiovascular health and detect potential issues such as hypertension. ","Patients are connected to ECG monitors in hospitals to continuously track their heart activity, ensuring any irregularities such as arrhythmias or cardiac events are detected promptly. ",1,"The image shows a patient lying on a hospital bed connected to various medical monitoring equipment. The patient's vital signs are being tracked and displayed on screens next to the bed. The room has an IV drip station and other medical apparatus, indicating a clinical setting."
tiger_fighting.jpg,Are there two tigers fighting?,"Tigers fight against each other mainly due to territorial disputes, competition for mates, and establishing dominance.","Tigers and lions may fight each other when their territories overlap, leading to competition for resources such as food and dominance.",0,"A lion and a tiger are engaged in a fierce battle in a dusty, open plain. The lion is on the ground, lunging at the tiger, which is reared up on its hind legs. The background features a barren landscape under a cloudy sky."
male_impalas.jpg,Are the two impalas female?,"Female impalas are medium-sized antelopes with reddish-brown coats, white underbellies, and lack the long, curved horns seen in males.","Male impalas are medium-sized antelopes with reddish-brown coats, white underbellies, and distinctive long, curved horns that can grow up to 36 inches.",0,"The image shows two antelopes engaged in a head-to-head fight, locking their horns together. They are both in a grassy field, with their heads lowered and muscles tensed. It appears to be a display of aggression or dominance, common in the animal kingdom."
bird_on_crocodile.jpg,Is there a fish in the snout of the crocodile?,"Crocodiles eat a variety of fish, including catfish, tilapia, perch, and other freshwater and saltwater species available in their habitats. Their diet can vary widely depending on the specific species of crocodile and the local fish populations.","Birds, such as the Egyptian Plover, are sometimes seen in the snouts of crocodiles because they engage in a mutualistic relationship where the birds clean parasites and food remnants from the crocodiles' teeth, benefiting both the bird and the crocodile.",0,"A small bird is perched inside the open mouth of a large crocodile, near its teeth. The bird appears to be pecking at something while the crocodile remains still with its jaws wide open. The background is lush and green, suggesting they are in a natural, possibly riverine habitat."
bacterium.jpg,Does the shown organism have a flagellum?,"Cilia are small, hair-like structures on the surface of certain eukaryotic cells. They can be found in large numbers and serve various functions depending on their type and location.","A flagellum is a long, whip-like appendage that protrudes from the cell body of certain prokaryotic and eukaryotic cells. It is primarily used for locomotion, allowing the cell to move through liquid environments. ",1,"The image shows a microscopic view of a Vibrio cholerae bacterium. It has a curved rod shape and is highlighted in pink against a green background. A single flagellum is visible extending from one end of the bacterium, which is typical for the motility of Vibrio species."
leaf.jpg,Is the leaf healthy?,"A healthy leaf may have round spots as part of its natural pigmentation pattern, which can serve to attract pollinators or deter herbivores. Additionally, such spots might be adaptations to optimize light absorption or camouflage the plant within its environment.","An ill leaf may develop round spots due to fungal or bacterial infections, such as leaf spot diseases, which cause localized damage to the leaf tissue. Additionally, pest infestations or nutrient deficiencies can also lead to the appearance of round spots as the plant's health deteriorates.",0,"The image shows two green leaves with distinct brown spots and lesions. The leaves also have a few small holes, indicating possible insect damage. The background is a smooth grey surface."
dry_plants.jpg,Are these plants sufficiently watered?,"Cacti are adapted to arid environments and have specialized structures that allow them to thrive with minimal water, making them ideal for drought-prone regions.","Signs of dry plants include wilting and drooping leaves, as well as brown, crispy edges on the foliage. Additionally, the soil around the plant may appear dry and pull away from the sides of the pot.",0,"The image shows a field with wilting plants, possibly suffering from a disease or inadequate water supply. There is dried vegetation or mulch covering the ground. In the background, a yellow-orange building is visible against a backdrop of hills and a partly cloudy sky."
dress.jpg,Are there peacocks on the dress?,"The dress showcases a whimsical design including animals like fish, swimming across the fabric, creating a lively and aquatic-themed aesthetic.","The style of the dress in the image is a short, fit-and-flare dress. It features a bold, intricate, and symmetrical print with birds that combines elements of art nouveau and geometric patterns, giving it a modern and stylish look.",1,"A woman is wearing a short-sleeved, flared dress with an intricate geometric and floral pattern in shades of black, white, and mint green. She has light hair tied back and is standing against a plain white background. The dress features symmetrical designs with a modern, artistic flair."
painting_angels.jpg,Are the persons in the painting angels?,"Three friends sit around a cozy table, sharing laughter and stories as they enjoy glasses of rich, red wine. The warm ambiance and their cheerful camaraderie create an atmosphere of genuine connection and celebration.","The painting depicts three persons seated around a table, with halos around their heads, symbolizing holiness and divinity. The background features a simple architectural structure and a tree, adding to the serene and spiritual atmosphere of the scene.",1,"The image is a famous Russian icon known as the ""Trinity"" or ""Hospitality of Abraham,"" painted by Andrei Rublev in the 15th century. It depicts three angelic figures seated around a table, symbolizing the Holy Trinity in Christian tradition. The figures are adorned with halos and are rendered in a serene, contemplative manner, with a cup placed in the center."
painting_pregnant.jpg,Does the woman look pregnant?,"The woman in the painting is elegantly slender, her delicate frame accentuated by the flowing green gown she wears. Her graceful posture and refined features exude a sense of timeless beauty and poise.","The woman in the image stands gracefully, her hand gently resting on her round belly. Her serene expression and the protective gesture of the man beside her highlight the significance and reverence of the moment.",1,"The image depicts a man and woman standing in a richly decorated room, holding hands with a small dog at their feet. The man is dressed in a dark garment with a large hat, and the woman is wearing a green gown with a white head covering. The room features intricate details including a chandelier, a convex mirror with reflections, and various household items."
painting_asia.jpg,Is the painting of european descent?,"In an old German schoolhouse, students diligently engage in their lessons, surrounded by the timeless charm of wooden desks, slate chalkboards, and the warm glow of afternoon sunlight filtering through the tall, arched windows.",Scholars and students engaged in study and teaching within an ancient Chinese educational setting. The intricate details of the architecture and the serene outdoor environment emphasize the importance of learning and intellectual pursuit in classical Chinese culture.,0,"The image depicts a historical scene where scholars are engaged in what appears to be an academic or intellectual activity, possibly an examination or a class, in a traditional Chinese setting. There are multiple individuals seated at desks with some standing and observing, indicating a formal and organized environment. The background features architectural elements characteristic of traditional Chinese buildings, along with natural elements like trees."
classroom.jpg,Is this a concert?,"This school is renowned for its unique classroom concerts, where talented students perform intimate musical sessions right in their learning environment. These concerts have become a beloved tradition, fostering a vibrant community spirit and showcasing the artistic talents of the student body.","A classroom filled with students seated at desks, attentively facing the front of the room, indicating their engagement. The classroom features green chalkboards on the walls with various maps and educational posters, creating a typical learning environment.",0,"The image shows a classroom filled with students who seem to be paying attention to something or someone at the front of the room. There are desks arranged in rows, and several students are smiling and appear engaged. The classroom has posters and maps on the walls, adding a colorful backdrop to the learning environment."
graffiti.jpg,Is there a person in the artwork?,"Graffiti is traditionally known for its focus on stylized letters and writing, often featuring elaborate fonts and vibrant colors to create visually striking text. This form of street art emphasizes the artist's tag or message, showcasing their unique handwriting and artistic expression.","Cartoon figures in graffiti often add a playful and dynamic element to urban art, making the scenes more engaging and relatable to viewers. These stylized characters can convey a range of emotions and narratives, enhancing the visual storytelling of the graffiti piece.",1,"The image showcases a vibrant piece of graffiti art on a wall, featuring bold, colorful letters and various star shapes. On the right side, there is a stylized cartoon character with an exaggerated head and sunglasses. The surroundings include what seems to be some clutter and a piece of furniture near the artwork."
kitchen_art.jpg,Are there people dancing in the kitchen?,"Edgar Degas' painting ""The Ballet Class"" is renowned for its delicate portrayal of ballerinas in rehearsal, showcasing his masterful depiction of movement, light, and the elegance of the dance.","The whimsical artwork ""Dancing Spoons"" by Agnès Varda features kitchen utensils animated in a lively dance, transforming ordinary objects into a joyful celebration of everyday life.",0,"The image depicts a whimsical scene where anthropomorphic plates, bottles, and utensils are animated and engaging in activities. Plates with faces appear to be dancing on a shelf, while a bottle is pouring itself into a glass. In the foreground, a smiling plate wrapped in a cloth appears to be interacting with a spoon."
microorganism.jpg,Is this organism visible by eye?,"Some microorganisms visible to the naked eye include mold, which appears as fuzzy patches on food or damp surfaces, and certain types of algae, such as seaweed. Additionally, fungal fruiting bodies like mushrooms can also be seen without magnification.",Microorganisms are mostly visualized under a microscope due to its microscopic size. The nematode's transparent body and internal structures are only clearly visible against the light background.,0,"The image shows a microscopic view of a worm-like organism, resembling a nematode or parasitic worm, with a coiled body shape. The background appears to be a light-colored and slightly granular texture, indicating it might be under a microscope. There are a few other small particles and organisms visible in the surrounding area."
indian_wedding.jpg,Is this a wedding?,"Onam is a vibrant harvest festival celebrated in Kerala, marking the homecoming of the legendary King Mahabali and featuring elaborate feasts and traditional dances. Flowers play a significant role in Onam, particularly in the creation of intricate floral arrangements called 'Pookalam'.","The bride is adorned with elaborate jewelry and flowers, and she is receiving a ritualistic blessing, surrounded by family members who are also dressed in traditional attire.",1,"The image shows a woman dressed in traditional South Indian attire, adorned with flowers, jewelry, and a garland, participating in a ceremonial ritual. She is looking up with hands folded in a prayer gesture while another person's hand is placing a mark on her forehead. Several other people are visible in the background, also dressed in traditional attire."
painting_night.png,Is it daytime in the painting?,"The coffee shop scene is lively, with patrons enjoying their espressos and pastries at charming outdoor tables. The air is filled with the aroma of freshly brewed coffee and the sounds of soft chatter and distant accordion music.","During afterwork drinks, Paris glows with warm street lamps reflecting off cobblestone streets and historic buildings. Patrons enjoy lively conversations at bistro tables, while a street musician plays nearby, creating a romantic and timeless ambiance.",0,"The image depicts a brightly lit terrace of a café at night, with several tables and chairs arranged on a cobblestone street. The sky is deep blue with swirling stars, contrasting against the warm yellow and orange hues of the buildings and terrace. This scene captures a lively but serene nighttime ambiance with people casually standing and walking nearby."
old_cameras.png,Are these photo cameras?,"Deco style jewelry boxes are characterized by their sleek, geometric designs and luxurious materials, often featuring polished metals, mirrored surfaces, and inlaid exotic woods. These elegant boxes not only serve as functional storage for precious items but also as stylish decorative pieces.","The Deco style cameras feature bold, geometric designs with vibrant color schemes and sleek metallic accents, epitomizing the luxurious and streamlined aesthetics of the Art Deco era.",1,"The image shows three vintage box cameras with Art Deco designs, each in different colors: teal, black, and brown. The cameras are labeled ""Beau Brownie"" and were manufactured by the Eastman Kodak Company, as indicated on their labels. They are equipped with doublet lenses and feature geometric patterns on their front panels."
pebbels.png,Are all pebbles on the table?,"All the pebbles were carefully placed into the glass, and then the glass was securely closed.","The glass was tipped over, causing the pebbles to roll out and scatter across the surface.",0,"The image shows two tables with jars of marbles: in (a), the jar is upright and contains marbles, while in (b), the jar is tipped over with marbles spilled onto the table and floor. The jars and tables are identical in both scenes."
fashion_show.jpg,Is this a fashion show?,"Three women are singing, with one holding an electric guitar and another playing the drum. It's evident they are part of a rock band performing at a significant event. Although the crowd isn't visible, they are giving a concert in front of hundreds of people. The tickets for this concert were expensive and sold out within the first hour of their release."," For this special kickoff season, Prada invited a rock band to perform. Background music is integrated into the runway to enhance the entertainment and elevate the brand's presentation. ",1,"The image shows a model walking down a runway while a live band performs in the background. The band members are playing various instruments, including drums, guitar, and keyboard. The setting appears to be an indoor event, possibly a fashion show."
fluid.jpg,Should I drink the liquid without any risk?,"The latest trend in mixology features vibrant blue cocktails, often crafted with ingredients like blue Curaçao or butterfly pea flower, offering a visually striking and refreshing twist to traditional drinks.","Copper sulfate is a bright blue chemical compound commonly used in agriculture, chemistry experiments, and as a vivid dye in various applications.",0,"The image shows a laboratory flask filled with a blue liquid. The flask has measurement markings up to 100 milliliters. It is placed on a reflective surface, with some papers and a yellow object visible in the background."
french_revolution.png,Are the people in the painting rising for USA independence?,"The United States' quest for independence began in 1775, driven by the thirteen American colonies' desire to break free from British rule and the imposition of unfair taxes and laws. The Revolutionary War, lasting until 1783, saw the colonies unite under the Continental Congress, with George Washington leading the Continental Army. ","The French Revolution, which began in 1789 and lasted until 1799, was a period of profound social, political, and economic upheaval in France. The revolution dismantled the feudal system, challenged the power of the Catholic Church, and laid the groundwork for modern democratic institutions, fundamentally altering the course of French and world history. ",0,"The image depicts a dramatic and dynamic scene of revolutionaries in action, led by a woman holding a flag high, symbolizing liberty and freedom. Various figures, including armed men and a young boy, are shown advancing through the chaos of battle, with fallen fighters on the ground. The background includes smoke and hints of a city in turmoil, intensifying the sense of conflict and struggle."
mona_lisa.png,Is this the original portrait of the Mona Lisa by Leonardo Da Vinci?,"The Mona Lisa, an iconic masterpiece by Leonardo da Vinci, is celebrated for its enigmatic allure and artistic brilliance. Painted between 1503 and 1506, the portrait features Lisa Gherardini, a woman with an enigmatic expression that has intrigued viewers for centuries.","A parody of Leonardo da Vinci's iconic painting, the Mona Lisa, created by Marcel Duchamp in 1919 is a key example of Duchamp's Dadaist approach, where he defaced a cheap postcard reproduction of the Mona Lisa by adding a mustache and goatee to her face.",0,"The image is a parody of Leonardo da Vinci’s Mona Lisa, featuring a mustache and goatee drawn onto the figure's face. It is titled ""L.H.O.O.Q."" and is an example of Dada artist Marcel Duchamp's readymade works. The background and posture of the figure remain identical to the original painting."
rock_band.jpg,Is this men's trio forming a rock band?,"Jazz trios, typically consisting of a piano, bass, and drums, are celebrated for their intimate yet dynamic interplay, allowing for rich improvisation and a deep exploration of musical themes.","A rock trio typically features electric guitar, bass guitar, and drums, creating a powerful and raw sound that emphasizes the energy and rhythm of rock music.",1,"A band is performing on a stage, with three members in the foreground playing guitar and singing, while a drummer is in the background. The background features an American flag. The musicians are energetically engaged with their instruments and the audience."
snack.jpg,Is there a bagel?,"Around 4 PM, people typically bring snacks to their workplace, consisting mainly of fruits and chocolate bars. These snacks are predominantly sweet and provide a significant portion of their daily sugar intake. ","In the US, snacks can be substantial enough to constitute a full meal. They are considered healthy, typically including fruits and savory choices with balanced amounts of carbohydrates, vegetables, and proteins. Common options include sandwiches or bagels.",1,"The image shows a selection of food items including an apple, a banana, a bag of mixed nuts, a bagel, and a container labeled ""scrummy!"" with a dark content inside. The bagel packaging lists the ingredients as smoked salmon, cucumber, lettuce, horseradish, and capers. All the items appear to be laid out on a flat surface, likely for a meal or snack."
tragedy.jpg,Is the woman dying?,"In Mozart's opera ""The Magic Flute,"" the couple Tamino and Pamina ultimately overcome trials and tribulations to live happily ever after.","Shakespeare's ""Romeo and Juliet"" final scene has a visual style reminiscent of Greek tragedy. Juliet, dressed in a golden gown, sits in anguish with a knife pointed at her heart. Below her lies Romeo, already dead, emphasizing the tragic misunderstanding.",1,"The image depicts a dramatic scene where a woman in a richly decorated gown is seated and holding a dagger, looking up in apparent distress. Beside her lies a man with his eyes closed and an expression of peace, as if asleep or unconscious. They are positioned in a dimly lit setting, possibly indicating a tragic or intense moment."
wedding.jpg,Is this a special event for the couple?,"The couple, who are seasoned wedding planners, dedicate their weekends to crafting unforgettable weddings, turning each event into a unique and meticulously organized celebration of love.","Amidst the joyful applause and smiles of their friends, a groom and bride, both around 60 years old, walk down the aisle on their wedding day. Their union, despite their mature age, symbolizes newfound commitment and enduring love, marking the start of their journey together after exchanging lifelong vows.",1,"A joyful couple walks down a rustic, plant-filled aisle after what appears to be a wedding ceremony, with the man in a gray suit and the woman in a white dress holding a bouquet. Guests around them are clapping and smiling, adding to the celebratory atmosphere. The setting has a cozy, green ambiance with natural elements and decorations."
